21,130,75,171
130,166,75,171
21,130,171,221
130,166,171,221
166,211,75,139
211,255,75,139
166,211,139,221
211,255,139,221
21,97,221,278
97,166,221,278
21,97,278,461
97,166,278,461
166,211,221,281
211,255,221,281
166,211,281,461
211,255,281,461
255,273,75,152
273,291,75,152
255,273,152,269
273,291,152,269
291,310,75,150
310,530,75,150
291,310,150,269
310,530,150,269
255,276,269,369
276,291,269,369
255,276,369,461
276,291,369,461
291,302,269,361
302,530,269,361
291,302,361,461
302,530,361,461
21,176,461,685
176,187,461,685
21,176,685,694
176,187,685,694
187,224,461,648
224,255,461,648
187,224,648,694
224,255,648,694
21,135,694,742
135,187,694,742
21,135,742,915
135,187,742,915
187,197,694,757
197,255,694,757
187,197,757,915
197,255,757,915
255,285,461,573
285,318,461,573
255,285,573,691
285,318,573,691
318,411,461,667
411,530,461,667
318,411,667,691
411,530,667,691
255,293,691,753
293,318,691,753
255,293,753,915
293,318,753,915
318,363,691,795
363,530,691,795
318,363,795,915
363,530,795,915
